image,text
data/raw/newspaper/news11_jpg.jpeg,کراچی (نیوز ڈیسک) پاکستان نے اپنی سب سے بڑی فعال چینی
data/raw/newspaper/news12_jpg.jpeg,چین نے بھارتی وزارت خارجہ کے کشمیر کی وادی
data/raw/newspaper/news2_jpg.jpeg,اسلام آباد میں ہفتہ وار بریفنگ کے دوران طاہر اندرابی سے
data/raw/newspaper/news3_jpg.jpeg,وانگچک کی بھوک ہڑتال کا انّا ہزارے سے موازنہ
data/raw/newspaper/news4_jpg.jpeg,انڈیا کے زیر انتظام علاقے لداخ سے تعلق رکھنے والے سماجی
data/raw/newspaper/news5_jpg.jpeg,مصنوعی قلت پیدا کرنے والوں کے خلاف سخت کارروائی کی
data/raw/newspaper/news6_jpg.jpeg,ایک مثبت قدم ہے جسے آگے بڑھایا جانا چاہیے۔
data/raw/newspaper/news7_jpg.jpeg,آگے بڑھنے سے پہلے ہم اس بات کو سراہتے ہیں کہ ایچ
data/raw/newspaper/news8_jpg.jpeg,اقدامات اور محاذ جنگ پر کارکردگی کا تجزیہ اور بہتری لانے
data/raw/newspaper/news9_jpg.jpeg,ہر ممکن سہولیات فراہم کرے،تفصیلات کے مطابق وزیراعظم کی
data/raw/newspaper/textbox_10_line_1_.png,میں نے دو دن پہلے کمرہ بک کروایا تھا۔ پھر بھی ہوٹل
data/raw/newspaper/textbox_10_line_2_.png,والوں نے انتظار کروایا۔
data/raw/newspaper/textbox_11_line_1_.png,ہوٹل سٹاف دوستانہ ہے، ہوٹل کے کمرے کی
data/raw/newspaper/textbox_11_line_2_.png,کھڑکی روشن اور بڑی ہے۔ میں دوبارہ آؤں گا۔
data/raw/newspaper/textbox_12_line_2_.png,ہوٹل کا عملہ غیر موجود ہے۔ ہوٹل میں کوئی بات
data/raw/newspaper/textbox_12_line_3_.png,سننے والا نہیں ہے۔ ہوٹل کی سروس بہت بہتری ہے۔
data/raw/newspaper/textbox_13_line_1_.png,ہوٹل منیجر کا سلوک بہترین تھا۔ صبح کا ناشتہ مفت
data/raw/newspaper/textbox_13_line_2_.png,تھا۔ میں اس ہوٹل میں دوبارہ ضرور آؤں گا۔
data/raw/newspaper/textbox_14_line_1_.png,ہوٹل کا عملہ غیر حاضر تھا۔ ہوٹل کے برعکس
data/raw/newspaper/textbox_14_line_2_.png,کمرے اور صاف ستھرے تھے۔ کھانا اچھا تھا۔
data/raw/newspaper/textbox_15_line_2_.png,ہوٹل کے کمرے کی صفائی کا خاص خیال رکھا گیا
data/raw/newspaper/textbox_15_line_3_.png,ہوٹل کا سٹاف نہایت خوشگوار ہے۔
data/raw/newspaper/textbox_16_line_1_.png,ہوٹل کا عملہ کافی دوستانہ ہے۔ ہوٹل سے
data/raw/newspaper/textbox_16_line_2_.png,کھیل کا منظر خوبصورت نظر آتا ہے۔
data/raw/newspaper/textbox_17_line_1_.png,ہوٹل کا کھانا مزیدار تھا اور یہ منظر کا تھا۔
data/raw/newspaper/textbox_17_line_2_.png,ہوٹل کا سٹاف خوش شکل اور دوستانہ تھا۔
data/raw/newspaper/textbox_18_line_1_.png,صبح کے وقت باتھ روم میں گرم پانی نہیں آ رہا تھا۔
data/raw/newspaper/textbox_18_line_2_.png,میں نے گرم پانی کے لیے ہوٹل کا ریسیپٹ زیادہ دیا۔
data/raw/newspaper/textbox_19_line_1_.png,ہوٹل کا سٹاف اور عملہ نہایت دوستانہ ہے
data/raw/newspaper/textbox_19_line_2_.png,مجھے ہر قسم کی سہولت فراہم کی گئی۔
data/raw/newspaper/textbox_20_line_1_.png,ہوٹل جمیل کنارے واقع ہے۔ ہوٹل کا منظر
data/raw/newspaper/textbox_20_line_2_.png,خوبصورت ہے۔ ہوٹل سٹاف کا رویہ اچھا ہے۔
data/raw/newspaper/textbox_21_line_1_.png,ہوٹل کا عملہ بہت اچھا تھا۔ ہوٹل صاف تھا۔ ہوٹل کا کمرہ
data/raw/newspaper/textbox_21_line_2_.png,کھلا اور روشن تھا۔ کمرے کی صفائی کا خاص خیال تھا۔
data/raw/newspaper/textbox_22_line_1_.png,میں نے دو دن پہلے بکنگ کروائی تھی۔ لیکن اس
data/raw/newspaper/textbox_22_line_2_.png,کے باوجود میرا کمرہ کسی اور کو دے دیا گیا۔
data/raw/newspaper/textbox_23_line_1_.png,ہوٹل کی سروس خراب تھی، نمایاں صفائی کا کوئی
data/raw/newspaper/textbox_23_line_2_.png,خیال نہیں۔ ہوٹل کے کمرے چھوٹے ہیں۔
data/raw/newspaper/img001.jpg,کوڑا دان میں کوڑا ڈالیے!
data/raw/newspaper/img002.jpg,آگے کھانے پینے کی جگہ ہے!
data/raw/newspaper/img003.jpg,آگے پٹرول پمپ ہے!
data/raw/newspaper/img004.jpg,ہوٹل کی کمرے میں کھلنے - صبح کے وقت گرم پانی
data/raw/newspaper/img005.jpg,میں آتا - ہوٹل کے کمرے تنگ ہیں
data/raw/newspaper/img006.jpg,ہوٹل میں مسئلہ موجود نہ تھا - ہوٹل کے کمرے روشن
data/raw/newspaper/img007.jpg,کمرے - ہوٹل میں گرم پانی نہیں تھا
data/raw/newspaper/img008.jpg,ہوٹل میں صفائی کا خاص خیال رکھا گیا ہے
data/raw/newspaper/img009.jpg,میری کوئی شکایت نہیں ہے - میں پھر آؤں گا
data/raw/newspaper/img010.jpg,شام کے وقت چائے کا آرڈر دیا تھا - لیکن چائے پھر
data/raw/newspaper/img011.jpg,کچھ نہ آئی - ہوٹل کا عملہ بہت اچھا ہے
data/raw/newspaper/img012.jpg,ہوٹل میں میری تمام ضروریات کا خیال رکھا
data/raw/newspaper/img013.jpg,کل ہوٹل کا سٹاف نہایت قابل اور اچھا ہے
data/raw/newspaper/img014.jpg,ہوٹل کی بلڈنگ کافی پرانی ہے - ہوٹل میں گرم
data/raw/newspaper/img015.jpg,پانی کی سہولت موجود نہیں ہے
data/raw/newspaper/img016.jpg,ہوٹل کا کھانا مزے کا تھا - کھانے کی مقدار کم تھی
data/raw/newspaper/img017.jpg,بھی پلائی گئی - سٹاف نہایت بہترین دوستانہ ہے
data/raw/newspaper/img018.jpg,ہوٹل کا واش روم نہیں تھا - صفائی کا کوئی خیال نہیں
data/raw/newspaper/img019.jpg,خیال نہیں رکھا گیا تھا - رینٹ بہت زیادہ ہے
data/raw/newspaper/img020.jpg,ہوٹل کا عملہ دوستانہ ہے - ہمارا سامان گاڑی سے
data/raw/newspaper/img021.jpg,شاعری ادب کی اعلیٰ ترین صنف ہے
data/raw/newspaper/img022.jpg,کس طرح گزری۔ دلی سے لکھنؤ جاتے وقت جیں
data/raw/newspaper/img023.jpg,ہوٹل کا عملہ نہایت دوستانہ ہے۔ عملہ نے
data/raw/newspaper/img024.jpg,میری بہت مدد کی۔ میں یہاں ضرور واپس آؤں گا۔
data/raw/newspaper/img025.jpg,ہوٹل کی فضا خوشگوار ہے۔ ہوٹل کا ماحول
data/raw/newspaper/img026.jpg,خوشگوار ہے۔ ہوٹل کا عملہ دوستانہ ہے۔
data/raw/newspaper/img027.jpg,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ
data/raw/newspaper/img028.jpg,ہے۔ ہوٹل کے کمرے صاف اور کھلے اور صاف ہے۔
data/raw/newspaper/img029.jpg,ہوٹل کی کمرے میں کھلتی۔ ہوٹل میں اچھے بستر
data/raw/newspaper/img030.jpg,تھیں یا۔ لیکن ہوٹل کا رینٹ بہت زیادہ ہے۔
data/raw/newspaper/img031.jpg,ہوٹل کے کمرے کے آدھے بلب جلتے میں تھے۔
data/raw/newspaper/img032.jpg,کمرے کا پنکھا بہت گرد آلود تھا۔
data/raw/newspaper/img033.jpg,ہوٹل کے واش روم گندے تھے۔ ہوٹل کی صفائی
data/raw/newspaper/img034.jpg,کا خیال نہیں رکھا گیا تھا۔ میں دوبارہ میں آؤں گا
data/raw/newspaper/img035.jpg,ہوٹل کی چائے کا ذائقہ حبیب تھا۔ چائے گرم نہیں تھی
data/raw/newspaper/img036.jpg,ہوٹل کا ڈینٹ صفائی سے ہے۔ ہوٹل ٹھیک ہے۔
data/raw/newspaper/img037.jpg,کل رات کافی شور ہوتا رہا۔ میں نے شکایت بھی کی
data/raw/newspaper/img038.jpg,لیکن کوئی سٹاف کمرے میں نہ آیا اور نہ مدد کی۔
data/raw/newspaper/img039.jpg,ہوٹل کے کمرے میں کوڑا پڑا ہوا تھا۔ کمرے میں
data/raw/newspaper/img040.jpg,سے بدبو آ رہی تھی۔ بیڈ پے کچرا پڑا ہوا تھا۔
