image,text
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.20.29 PM.jpeg,اسلام آباد میں ہفتہ وار بریفنگ کے دوران طاہر اندرابی سے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.25.53 PM.jpeg,وانگچک کی بھوک ہڑتال کا انّا ہزارے سے موازنہ
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.26.50 PM.jpeg,انڈیا کے زیر انتظام علاقے لداخ سے تعلق رکھنے والے سماجی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.27.17 PM.jpeg,مصنوعی قلت پیدا کرنے والوں کے خلاف سخت کارروائی کی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.28.29 PM.jpeg,ایک مثبت قدم ہے جسے آگے بڑھایا جانا چاہیے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.29.27 PM.jpeg,آگے بڑھنے سے پہلے ہم اس بات کو سراہتے ہیں کہ ایچ
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.30.44 PM.jpeg,اقدامات اور محاذ جنگ پر کارکردگی کا تجزیہ اور بہتری لانے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.31.03 PM.jpeg,ہر ممکن سہولیات فراہم کرے،تفصیلات کے مطابق وزیراعظم کی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.31.32 PM.jpeg,میں نے دو دن پہلے کمرہ بک کروایا تھا۔ پھر بھی ہوٹل
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.35.03 PM.jpeg,والوں نے انتظار کروایا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.35.27 PM.jpeg,ہوٹل سٹاف دوستانہ ہے، ہوٹل کے کمرے کی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.35.40 PM.jpeg,کھڑکی روشن اور بڑی ہے۔ میں دوبارہ آؤں گا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.36.21 PM.jpeg,ہوٹل کا عملہ غیر موجود ہے۔ ہوٹل میں کوئی بات
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.36.32 PM.jpeg,سننے والا نہیں ہے۔ ہوٹل کی سروس بہت بہتری ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.36.46 PM.jpeg,ہوٹل منیجر کا سلوک بہترین تھا۔ صبح کا ناشتہ مفت
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.38.14 PM.jpeg,تھا۔ میں اس ہوٹل میں دوبارہ ضرور آؤں گا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.42.07 PM.jpeg,ہوٹل کا عملہ غیر حاضر تھا۔ ہوٹل کے برعکس
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.42.28 PM.jpeg,کمرے اور صاف ستھرے تھے۔ کھانا اچھا تھا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.44.31 PM.jpeg,ہوٹل کے کمرے کی صفائی کا خاص خیال رکھا گیا
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.44.45 PM.jpeg,ہوٹل کا سٹاف نہایت خوشگوار ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.44.58 PM.jpeg,ہوٹل کا عملہ کافی دوستانہ ہے۔ ہوٹل سے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.49.52 PM.jpeg,کھیل کا منظر خوبصورت نظر آتا ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.50.02 PM.jpeg,ہوٹل کا کھانا مزیدار تھا اور یہ منظر کا تھا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 12.52.36 PM.jpeg,ہوٹل کا سٹاف خوش شکل اور دوستانہ تھا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.13.18 PM.jpeg,صبح کے وقت باتھ روم میں گرم پانی نہیں آ رہا تھا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.14.22 PM.jpeg,میں نے گرم پانی کے لیے ہوٹل کا ریسیپٹ زیادہ دیا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.49 PM (1).jpeg,ہوٹل کا سٹاف اور عملہ نہایت دوستانہ ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.49 PM.jpeg,مجھے ہر قسم کی سہولت فراہم کی گئی۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.50 PM (1).jpeg,ہوٹل جمیل کنارے واقع ہے۔ ہوٹل کا منظر
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.50 PM (2).jpeg,خوبصورت ہے۔ ہوٹل سٹاف کا رویہ اچھا ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.50 PM.jpeg,ہوٹل کا عملہ بہت اچھا تھا۔ ہوٹل صاف تھا۔ ہوٹل کا کمرہ
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.51 PM (1).jpeg,کھلا اور روشن تھا۔ کمرے کی صفائی کا خاص خیال تھا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.51 PM (2).jpeg,میں نے دو دن پہلے بکنگ کروائی تھی۔ لیکن اس
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.51 PM.jpeg,کے باوجود میرا کمرہ کسی اور کو دے دیا گیا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.52 PM (1).jpeg,ہوٹل کی سروس خراب تھی، نمایاں صفائی کا کوئی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.52 PM (2).jpeg,خیال نہیں۔ ہوٹل کے کمرے چھوٹے ہیں۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.52 PM.jpeg,کوڑا دان میں کوڑا ڈالیے!
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.53 PM (1).jpeg,آگے کھانے پینے کی جگہ ہے!
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.53 PM (2).jpeg,آگے پٹرول پمپ ہے!
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.53 PM.jpeg,ہوٹل کی کمرے میں کھلنے - صبح کے وقت گرم پانی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.54 PM (1).jpeg,میں آتا - ہوٹل کے کمرے تنگ ہیں
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.54 PM (2).jpeg,ہوٹل میں مسئلہ موجود نہ تھا - ہوٹل کے کمرے روشن
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.54 PM (3).jpeg,کمرے - ہوٹل میں گرم پانی نہیں تھا
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.54 PM.jpeg,ہوٹل میں صفائی کا خاص خیال رکھا گیا ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.55 PM (1).jpeg,میری کوئی شکایت نہیں ہے - میں پھر آؤں گا
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.55 PM (2).jpeg,شام کے وقت چائے کا آرڈر دیا تھا - لیکن چائے پھر
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.55 PM.jpeg,کچھ نہ آئی - ہوٹل کا عملہ بہت اچھا ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.56 PM (1).jpeg,ہوٹل میں میری تمام ضروریات کا خیال رکھا
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.56 PM (2).jpeg,کل ہوٹل کا سٹاف نہایت قابل اور اچھا ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.56 PM.jpeg,ہوٹل کی بلڈنگ کافی پرانی ہے - ہوٹل میں گرم
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.57 PM (1).jpeg,پانی کی سہولت موجود نہیں ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.57 PM (2).jpeg,ہوٹل کا کھانا مزے کا تھا - کھانے کی مقدار کم تھی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.57 PM.jpeg,بھی پلائی گئی - سٹاف نہایت بہترین دوستانہ ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.58 PM (1).jpeg,ہوٹل کا واش روم نہیں تھا - صفائی کا کوئی خیال نہیں
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.58 PM (2).jpeg,خیال نہیں رکھا گیا تھا - رینٹ بہت زیادہ ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.58 PM.jpeg,ہوٹل کا عملہ دوستانہ ہے - ہمارا سامان گاڑی سے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.59 PM (1).jpeg,شاعری ادب کی اعلیٰ ترین صنف ہے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.59 PM (2).jpeg,کس طرح گزری۔ دلی سے لکھنؤ جاتے وقت جیں
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.59 PM (3).jpeg,ہوٹل کا عملہ نہایت دوستانہ ہے۔ عملہ نے
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.17.59 PM.jpeg,میری بہت مدد کی۔ میں یہاں ضرور واپس آؤں گا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.00 PM (1).jpeg,ہوٹل کی فضا خوشگوار ہے۔ ہوٹل کا ماحول
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.00 PM (2).jpeg,خوشگوار ہے۔ ہوٹل کا عملہ دوستانہ ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.00 PM.jpeg,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.01 PM (1).jpeg,ہے۔ ہوٹل کے کمرے صاف اور کھلے اور صاف ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.01 PM (2).jpeg,ہوٹل کی کمرے میں کھلتی۔ ہوٹل میں اچھے بستر
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.01 PM.jpeg,تھیں یا۔ لیکن ہوٹل کا رینٹ بہت زیادہ ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.02 PM (1).jpeg,ہوٹل کے کمرے کے آدھے بلب جلتے میں تھے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.02 PM (2).jpeg,کمرے کا پنکھا بہت گرد آلود تھا۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.02 PM.jpeg,ہوٹل کے واش روم گندے تھے۔ ہوٹل کی صفائی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.03 PM (1).jpeg,کا خیال نہیں رکھا گیا تھا۔ میں دوبارہ میں آؤں گا
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.03 PM (2).jpeg,ہوٹل کی چائے کا ذائقہ حبیب تھا۔ چائے گرم نہیں تھی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.03 PM.jpeg,ہوٹل کا ڈینٹ صفائی سے ہے۔ ہوٹل ٹھیک ہے۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.04 PM (1).jpeg,کل رات کافی شور ہوتا رہا۔ میں نے شکایت بھی کی
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.04 PM (2).jpeg,لیکن کوئی سٹاف کمرے میں نہ آیا اور نہ مدد کی۔
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.04 PM.jpeg,ہوٹل کے کمرے میں کوڑا پڑا ہوا تھا۔ کمرے میں
/content/drive/MyDrive/images/WhatsApp Image 2026-07-27 at 2.18.05 PM.jpeg,سے بدبو آ رہی تھی۔ بیڈ پے کچرا پڑا ہوا تھا۔
/content/drive/MyDrive/images/book1.jpg.jpeg,اور بازار سے لے آئے اگر ٹوٹ گیا
/content/drive/MyDrive/images/book2.jpg.jpeg,گلزار اردو فونٹ
/content/drive/MyDrive/images/news1.jpg.jpeg,اب اپنے آپ سے بھی چھُپ گئی ہے
/content/drive/MyDrive/images/news10.jpg.jpeg,مہر تعلیق حالی خط
/content/drive/MyDrive/images/news11.jpg.jpeg,الصبور
/content/drive/MyDrive/images/news12.jpg.jpeg,ع
/content/drive/MyDrive/images/news2.jpg.jpeg,شاگرد
/content/drive/MyDrive/images/news3.jpg.jpeg,خواتین
/content/drive/MyDrive/images/news4.jpg.jpeg,خواجہ
/content/drive/MyDrive/images/news5.jpg.jpeg,الباقی
/content/drive/MyDrive/images/news6.jpg.jpeg,بتول
/content/drive/MyDrive/images/news7.jpg.jpeg,زبانِ اردو
/content/drive/MyDrive/images/news8.jpg.jpeg,میمن
/content/drive/MyDrive/images/news9.jpg.jpeg,صوف
/content/drive/MyDrive/images/sign1.jpg.jpeg,دائرے میں گھومنے والوں کو کبھی منزل نہیں
/content/drive/MyDrive/images/sign2.jpg.jpeg,اسرائیلی وزیر اعظم بنیامین نیتن یاہو نے عندیہ دیا ہے کہ وہ رواں سال نیویارک میں ہونے والے اقوام متحدہ کی جنرل اسمبلی کے اجلاس میں شرکت کریں گے۔
/content/drive/MyDrive/images/sign3.jpg.jpeg,نیتن یاہو نے انٹرویو میں مزید کہا کہ وہ تمام نیویارک والوں کے میئر ہیں خواہ وہ یہودی ہوں،
/content/drive/MyDrive/images/textbox_10_line_1_.png,سوموار کے روز ابراہیم عزیزی نے بیان میں کہا کہ یورپی یونین کی خارجہ پالیسی کی قیادت اور روسی وزیرِ خارجہ کے ساتھ گفتگو میں انہوں نے زور دیا کہ یوکرین کے اقدامات کا مناسب جواب دیا جائے گا۔
/content/drive/MyDrive/images/textbox_10_line_2_.png,ایران کے ربر اعلی مجتبیٰ خامنہ ای نے واضح کیا ہے کہ لبنان کی علاقائی سالمیت کا تحفظ ایران، امریکہ مفاہمت کی پہلی شرط ہے
/content/drive/MyDrive/images/textbox_11_line_1_.png,پیر کی صبح ہونے والی ٹریڈنگ میں تیل کی قیمتوں میں نمایاں کمی کا ریکارڈ کی گئی ہے۔
/content/drive/MyDrive/images/textbox_11_line_2_.png,ثالثوں کی جانب سے مذاکرات کی بحالی کے لیے سفارتی کوششوں کی اطلاعات بھی سامنے آئی ہیں۔
/content/drive/MyDrive/images/textbox_12_line_2_.png,بلوچستان کے ضلع چاغی میں نامعلوم مسلح افراد نے پانچ گیس باؤزر ٹرک نذرآتش کر دیے
/content/drive/MyDrive/images/textbox_12_line_3_.png,عامر
/content/drive/MyDrive/images/textbox_13_line_1_.png,متقدمة
/content/drive/MyDrive/images/textbox_13_line_2_.png,رهيفه
/content/drive/MyDrive/images/textbox_14_line_1_.png,عمَّ يتساءَلون
/content/drive/MyDrive/images/textbox_14_line_2_.png,لا تقنطوا
/content/drive/MyDrive/images/textbox_15_line_2_.png,واللّٰہ
/content/drive/MyDrive/images/textbox_15_line_3_.png,أثيم
/content/drive/MyDrive/images/textbox_16_line_1_.png,لا يُحب
/content/drive/MyDrive/images/textbox_16_line_2_.png,وأفوّض
/content/drive/MyDrive/images/textbox_17_line_1_.png,إلى اللّٰہ
/content/drive/MyDrive/images/textbox_17_line_2_.png,ما يقولون
/content/drive/MyDrive/images/textbox_18_line_1_.png,جو لوگ صبر سے کام لیتے ہیں، ان کا ثواب انہیں بے حساب دیا جائے گا۔
/content/drive/MyDrive/images/textbox_18_line_2_.png,بیشک اللہ توکل کرنے والوں سے محبت فرماتا ہے۔
/content/drive/MyDrive/images/textbox_19_line_1_.png,حالیہ ٹیکس ریفنڈ کے بعد ایپسٹین کے باقی اثاثوں کی مالیت اب 120 سے 150 ملین ڈالرز کے درمیان بتائی جا رہی ہے۔
/content/drive/MyDrive/images/textbox_19_line_2_.png,ہر چیز جو زمین پر ہے فنا ہو جانے والی ہے۔
/content/drive/MyDrive/images/textbox_1_line_1_.png,حالیہ عدالتی ریکارڈز سے معلوم ہوا ہے کہ کرینا شولیاک کو اس ٹرسٹ کی بڑی شخصیات میں شامل کیا گیا تھا۔
/content/drive/MyDrive/images/textbox_1_line_2_.png,بعض تصاویر میں امریکی صدر نے خود کو اور امریکہ کو دنیا کا محافظ قرار دیا ہے جو دنیا کو ایران سے بچانے میں مصروف ہے۔
/content/drive/MyDrive/images/textbox_20_line_1_.png,ٹرمپ نے امریکی اسلحے کے ذخائر میں کمی کی خبروں کو مسترد کر دیا۔
/content/drive/MyDrive/images/textbox_20_line_2_.png,منزلیں بہادروں کا استقبال کرتی ہیں
/content/drive/MyDrive/images/textbox_21_line_1_.png,دائرے میں گھومنے والوں کو کبھی منزل نہیں
/content/drive/MyDrive/images/textbox_21_line_2_.png,بڑی خوبصورت ہیں آنکھیں تمہاری ہم جیسے کتنے ہی ڈوبے ان میں
/content/drive/MyDrive/images/textbox_22_line_1_.png,یہ نہ ہو کہ دھند میں کوئی گاڑی تمہارے اوپر سے گزر جائے۔
/content/drive/MyDrive/images/textbox_22_line_2_.png,پاکستانی نستعلیق کا صحیح اور معیاری فونٹ
/content/drive/MyDrive/images/textbox_23_line_1_.png,ساغرِ جم سے میرا جامِ سفال اچھا
/content/drive/MyDrive/images/textbox_23_line_2_.png,جھیل ہے کہ ساغر ہے یہ چشمِ فتن سمندر بھی کتنے ہوئے غرقاب ان میں
/content/drive/MyDrive/images/textbox_24_line_1_.png,اردو ایک پیاری زبان ہے
/content/drive/MyDrive/images/textbox_24_line_2_.png,اور بازار سے لے آئے اگر ٹوٹ گیا
/content/drive/MyDrive/images/textbox_25_line_1_.png,ہیں جو کبھی گلزار تھیں اور اب محض ایک اجاڑ بستی کا منظر پیش کرتی ہیں۔
/content/drive/MyDrive/images/textbox_25_line_2_.png,داخلہ جاری ہے
/content/drive/MyDrive/images/textbox_26_line_1_.png,ہفتہ
/content/drive/MyDrive/images/textbox_26_line_3_.png,نفیس پاکستانی ویب نسخ فانٹ
/content/drive/MyDrive/images/textbox_27_line_1_.png,ادھار مانگ کر شرمندہ نہ کریں۔
/content/drive/MyDrive/images/textbox_27_line_2_.png,اب اپنے آپ سے بھی چھُپ گئی ہے
/content/drive/MyDrive/images/textbox_28_line_1_.png,نیکی کی باتیں ہی کرتے کبھی کسی کا دل نہ دکھاتے
/content/drive/MyDrive/images/textbox_28_line_2_.png,پریت کا وعدہ کر کے پیا نے پریت نبھانا چھوڑ دیا مہرنے اکھیاں پھیر لیں دم دم کا سانا چھوڑ دیا
/content/drive/MyDrive/images/textbox_29_line_1_.png,زندگی کی راہوں میں رنج و غم کے میلے ہیں بھیڑ ہے قیامت کی پھر بھی ہم اکیلے ہیں
/content/drive/MyDrive/images/textbox_29_line_2_.png,خاموش رہو
/content/drive/MyDrive/images/textbox_2_line_1_.png,چار برہمنوں میں گہری دوستی تھی۔
/content/drive/MyDrive/images/textbox_2_line_2_.png,میری مرضی
/content/drive/MyDrive/images/textbox_30_line_1_.png,یار تنگ نہ کر
/content/drive/MyDrive/images/textbox_30_line_2_.png,زیادہ فری نہ ہو
/content/drive/MyDrive/images/textbox_31_line_1_.png,شرم کی کشش حُسن سے زیادہ ہوتی ہے۔
/content/drive/MyDrive/images/textbox_31_line_2_.png,مخلص لوگ چونکہ بناوٹ سے دور ہوتے ہیں
/content/drive/MyDrive/images/textbox_32_line_1_.png,قضول بیٹھنا منع ہے
/content/drive/MyDrive/images/textbox_32_line_2_.png,خوش قسمت ہوتے ہیں
/content/drive/MyDrive/images/textbox_33_line_1_.png,تہجد
/content/drive/MyDrive/images/textbox_33_line_2_.png,آپ جا سکتے ہیں۔
/content/drive/MyDrive/images/textbox_34_line_2_.png,بہترین صبر
/content/drive/MyDrive/images/textbox_34_line_3_.png,ہر دن نیا موقع ہے
/content/drive/MyDrive/images/textbox_35_line_1_.png,تقدیر بدل جائے گی راتوں کو اُٹھ
/content/drive/MyDrive/images/textbox_35_line_2_.png,تماشہ یہ تھا کہ تماشائی اپنے تھے
/content/drive/MyDrive/images/textbox_36_line_1_.png,سب کو سب نہیں ملتا۔
/content/drive/MyDrive/images/textbox_36_line_2_.png,کون سیکھا ہے صرف باتوں سے سب کو ایک حادثہ ضروری ہے
/content/drive/MyDrive/images/textbox_37_line_1_.png,الفاظ کم، عمل زیادہ
/content/drive/MyDrive/images/textbox_37_line_2_.png,ہم کہاں جائیں سادگی لے کر
/content/drive/MyDrive/images/textbox_38_line_1_.png,بھلا دوسری بارش میں مٹی مہکتی ہے کبھی
/content/drive/MyDrive/images/textbox_38_line_2_.png,وہ احساس ہی کیا جو دلایا جائے
/content/drive/MyDrive/images/textbox_3_line_1_.png,دل بیزار ہے دنیا کی فریبی رونقوں سے!
/content/drive/MyDrive/images/textbox_3_line_2_.png,مشکل ہے۔
/content/drive/MyDrive/images/textbox_4_line_1_.png,صنعتی گاڑیوں کا داخلہ ممنوع ہے
/content/drive/MyDrive/images/textbox_4_line_2_.png,سراب
/content/drive/MyDrive/images/textbox_5_line_2_.png,عربی گرامر
/content/drive/MyDrive/images/textbox_5_line_3_.png,قرآن مجید
/content/drive/MyDrive/images/textbox_6_line_1_.png,خدا
/content/drive/MyDrive/images/textbox_6_line_2_.png,اردو کے بہترین شخصی خاکے
/content/drive/MyDrive/images/textbox_7_line_2_.png,المر
/content/drive/MyDrive/images/textbox_7_line_3_.png,اور اختتام یہ کہ دل اب کچھ نہیں چاہتا۔
/content/drive/MyDrive/images/textbox_8_line_1_.png,آزمائے گئے ہو تو نوازے بھی جاؤ گے
/content/drive/MyDrive/images/textbox_8_line_2_.png,تکلیف بتانے میں بھی تکلیف ہوتی ہے۔
/content/drive/MyDrive/images/textbox_9_line_1_.png,میں اپنی ہی الجھی ہوئی راہوں کا تماشا ہوں
/content/drive/MyDrive/images/textbox_9_line_2_.png,ہر پسندیدہ چیز خوشی نہیں دیتی
/content/drive/MyDrive/images/urdu_1.png,دھول جتنی بھی اونچی ہو جائے آسمان کو گندہ نہیں کر سکتی
/content/drive/MyDrive/images/urdu_2.png,ہم صورت گر کچھ خوابوں کے
/content/drive/MyDrive/images/urdu_3.png,میں نے حقیقت سے زیادہ کسی چیز کو تلخ نہیں پایا
/content/drive/MyDrive/images/urdu_4.png,بس اگلے موڑ سکون ہو گا چل زندگی تھوڑا اور چلیں
/content/drive/MyDrive/images/urdu_5.png,خوب ہوتی ہے گفتگو تم سے، تم سے جب گفتگو نہیں ہوتی
/content/drive/MyDrive/images/urdu_6.png,نہیں نگاہ میں میری غزل، تو جستجو ہی سہی۔
/content/drive/MyDrive/images/urdu_7.png,مجھ سے پہلی سی محبت مری محبوب نہ مانگ
